Fold,Label,Errors,Accuracy,Precision,Recall,F1
1,A,0,1.0,1.0,1.0,1.0
1,B,0,1.0,1.0,1.0,1.0
1,C,0,1.0,1.0,1.0,1.0
1,D,1,0.9989583333333333,0.9761904761904762,1.0,0.9879518072289156
1,E,0,1.0,1.0,1.0,1.0
1,F,1,0.9989583333333333,0.9777777777777777,1.0,0.9887640449438202
1,G,0,1.0,1.0,1.0,1.0
1,H,0,1.0,1.0,1.0,1.0
1,I,1,0.9989583333333333,1.0,0.9791666666666666,0.9894736842105264
1,K,0,1.0,1.0,1.0,1.0
1,L,3,0.996875,0.9361702127659575,1.0,0.967032967032967
1,M,1,0.9989583333333333,0.9743589743589743,1.0,0.9870129870129869
1,N,0,1.0,1.0,1.0,1.0
1,O,0,1.0,1.0,1.0,1.0
1,P,0,1.0,1.0,1.0,1.0
1,Q,0,1.0,1.0,1.0,1.0
1,R,0,1.0,1.0,1.0,1.0
1,S,0,1.0,1.0,1.0,1.0
1,T,0,1.0,1.0,1.0,1.0
1,U,0,1.0,1.0,1.0,1.0
1,V,0,1.0,1.0,1.0,1.0
1,W,2,0.9979166666666667,1.0,0.9473684210526315,0.972972972972973
1,X,0,1.0,1.0,1.0,1.0
1,Y,3,0.996875,1.0,0.9302325581395349,0.963855421686747
2,A,0,1.0,1.0,1.0,1.0
2,B,0,1.0,1.0,1.0,1.0
2,C,0,1.0,1.0,1.0,1.0
2,D,0,1.0,1.0,1.0,1.0
2,E,0,1.0,1.0,1.0,1.0
2,F,0,1.0,1.0,1.0,1.0
2,G,0,1.0,1.0,1.0,1.0
2,H,0,1.0,1.0,1.0,1.0
2,I,0,1.0,1.0,1.0,1.0
2,K,0,1.0,1.0,1.0,1.0
2,L,0,1.0,1.0,1.0,1.0
2,M,2,0.9979166666666667,0.9591836734693877,1.0,0.9791666666666666
2,N,3,0.996875,1.0,0.9387755102040817,0.968421052631579
2,O,0,1.0,1.0,1.0,1.0
2,P,0,1.0,1.0,1.0,1.0
2,Q,0,1.0,1.0,1.0,1.0
2,R,0,1.0,1.0,1.0,1.0
2,S,1,0.9989583333333333,0.972972972972973,1.0,0.9863013698630138
2,T,0,1.0,1.0,1.0,1.0
2,U,0,1.0,1.0,1.0,1.0
2,V,1,0.9989583333333333,0.9782608695652174,1.0,0.989010989010989
2,W,1,0.9989583333333333,1.0,0.975,0.9873417721518987
2,X,0,1.0,1.0,1.0,1.0
2,Y,0,1.0,1.0,1.0,1.0
3,A,0,1.0,1.0,1.0,1.0
3,B,0,1.0,1.0,1.0,1.0
3,C,0,1.0,1.0,1.0,1.0
3,D,0,1.0,1.0,1.0,1.0
3,E,0,1.0,1.0,1.0,1.0
3,F,0,1.0,1.0,1.0,1.0
3,G,0,1.0,1.0,1.0,1.0
3,H,0,1.0,1.0,1.0,1.0
3,I,0,1.0,1.0,1.0,1.0
3,K,0,1.0,1.0,1.0,1.0
3,L,0,1.0,1.0,1.0,1.0
3,M,0,1.0,1.0,1.0,1.0
3,N,0,1.0,1.0,1.0,1.0
3,O,0,1.0,1.0,1.0,1.0
3,P,0,1.0,1.0,1.0,1.0
3,Q,0,1.0,1.0,1.0,1.0
3,R,0,1.0,1.0,1.0,1.0
3,S,0,1.0,1.0,1.0,1.0
3,T,0,1.0,1.0,1.0,1.0
3,U,0,1.0,1.0,1.0,1.0
3,V,0,1.0,1.0,1.0,1.0
3,W,0,1.0,1.0,1.0,1.0
3,X,0,1.0,1.0,1.0,1.0
3,Y,0,1.0,1.0,1.0,1.0
4,A,0,1.0,1.0,1.0,1.0
4,B,0,1.0,1.0,1.0,1.0
4,C,0,1.0,1.0,1.0,1.0
4,D,0,1.0,1.0,1.0,1.0
4,E,0,1.0,1.0,1.0,1.0
4,F,0,1.0,1.0,1.0,1.0
4,G,2,0.9979166666666667,0.972972972972973,0.972972972972973,0.972972972972973
4,H,1,0.9989583333333333,0.9777777777777777,1.0,0.9887640449438202
4,I,0,1.0,1.0,1.0,1.0
4,K,0,1.0,1.0,1.0,1.0
4,L,1,0.9989583333333333,1.0,0.9743589743589743,0.9870129870129869
4,M,4,0.9958333333333333,0.92,1.0,0.9583333333333334
4,N,4,0.9958333333333333,1.0,0.8787878787878788,0.9354838709677419
4,O,0,1.0,1.0,1.0,1.0
4,P,0,1.0,1.0,1.0,1.0
4,Q,0,1.0,1.0,1.0,1.0
4,R,0,1.0,1.0,1.0,1.0
4,S,0,1.0,1.0,1.0,1.0
4,T,0,1.0,1.0,1.0,1.0
4,U,0,1.0,1.0,1.0,1.0
4,V,0,1.0,1.0,1.0,1.0
4,W,0,1.0,1.0,1.0,1.0
4,X,0,1.0,1.0,1.0,1.0
4,Y,0,1.0,1.0,1.0,1.0
