n_cnn,n_dense,i_cnn,i_dense,batch_normalization,max_pool,dropout,generation
2,4,8,256,"[0, 0]","[1, 0]","[1, 0, 1, 0]",0
1,4,32,512,[1],[0],"[1, 1, 0, 1]",0
0,3,0,256,[],[],"[0, 0, 1]",0
2,0,4,0,"[1, 1]","[1, 1]",[],0
-1,-2,0,0,[],[],[],0
0,2,0,64,[],[],"[1, 1]",0
3,3,32,64,"[0, 1, 1]","[0, 1, 1]","[1, 1, 1]",0
0,-1,0,0,[],[],[],0
5,-1,32,0,"[0, 0, 1, 1, 1]","[1, 0, 1, 1, 0]",[],0
0,0,0,0,[],[],[],0
4,5,16,128,"[0, 1, 0, 0]","[1, 1, 1, 0]","[0, 0, 1, 1, 0]",0
3,3,8,256,"[1, 0, 0]","[0, 0, 0]","[0, 0, 1]",0
2,0,32,0,"[0, 0]","[0, 0]",[],0
2,-2,4,0,"[1, 1]","[1, 0]",[],0
4,4,16,64,"[1, 0, 1, 0]","[0, 1, 0, 1]","[0, 0, 0, 0]",0
3,-1,32,0,"[0, 0, 0]","[1, 1, 0]",[],0
0,-2,0,0,[],[],[],0
3,4,8,128,"[0, 1, 0]","[1, 1, 0]","[0, 1, 1, 1]",0
-2,0,0,0,[],[],[],0
-1,2,0,256,[],[],"[0, 1]",0
4,5,16,128,"[0, 1, 0, 0]","[1, 1, 1, 0]","[0, 0, 1, 1, 0]",1
1,4,32,512,[1],[0],"[1, 1, 0, 1]",1
0,3,0,256,[],[],"[0, 0, 1]",1
0,3,0,256,[],[],"[0, 0, 1]",1
0,4,0,128,[],[],"[0, 1, 1, 1]",1
-1,3,0,256,[],[],"[0, 0, 1]",1
4,4,16,64,"[1, 0, 1, 0]","[0, 1, 0, 1]","[0, 0, 0, 0]",1
0,3,0,256,[],[],"[0, 0, 1]",1
0,2,0,64,[],[],"[1, 1]",1
3,4,8,128,"[1, 1, 0]","[0, 1, 0]","[1, 1, 0, 1]",1
0,3,0,256,[],[],"[0, 0, 1]",2
1,4,32,512,[1],[0],"[1, 1, 0, 1]",2
-1,3,0,256,[],[],"[0, 0, 1]",2
0,3,0,256,[],[],"[0, 0, 1]",2
-1,3,0,256,[],[],"[0, 0, 1]",2
-1,3,0,256,[],[],"[0, 0, 1]",3
0,3,0,256,[],[],"[0, 0, 1]",3
0,3,0,256,[],[],"[0, 0, 1]",3
0,3,0,256,[],[],"[0, 0, 1]",4
