n_cnn,n_dense,i_cnn,i_dense,batch_normalization,max_pool,dropout,accuracy,precision,recall,f1_score,AUC_ROC,MCC,time,generation,reward
2,4,8,256,"[0, 0]","[1, 0]","[1, 0, 1, 0]",0.96875,0.972426607099731,0.9718362818812594,0.9707610560270185,0.9998208631408554,0.9674817408721594,20.47490358352661,0,0.96875
1,4,32,512,[1],[0],"[1, 1, 0, 1]",0.9770833333333333,0.9772574112047797,0.9777139199049953,0.977035472835737,0.9997474113882375,0.9760935936062766,32.806615352630615,0,0.9770833253860474
0,3,0,256,[],[],"[0, 0, 1]",0.9854166666666667,0.9868992722253592,0.9864783968044838,0.9860172539483374,0.9999823866363773,0.9848253900747677,34.611337423324585,0,0.9854166507720947
2,0,4,0,"[1, 1]","[1, 1]",[],0.9583333333333334,0.9595261622435536,0.9621987248703495,0.9586696770102298,0.9980527034596314,0.9566584150626546,3.4517433643341064,0,0.9583333333333334
-1,-2,0,0,[],[],[],0.48125,0.9193295739348372,0.5029214388225672,0.5829908400726936,0.999106102590185,0.5481350760875818,25.64668893814087,0,0.48333333333333334
0,2,0,64,[],[],"[1, 1]",0.9729166666666667,0.9756552324487107,0.9758818375666202,0.9743770825397249,0.9998667224694683,0.9718381419380206,31.55289363861084,0,0.9729166626930237
3,4,4,32,"[0, 0, 1]","[0, 0, 0]","[0, 1, 0, 0]",0.5916666666666667,0.6332778485965872,0.6067695036445037,0.5957514783624175,0.9503762150291358,0.5784917576989831,13.7000732421875,0,0.5916666388511658
0,-1,0,0,[],[],[],0.9041666666666667,0.9675650820599886,0.9111748554116185,0.9269775353231408,0.9999122590463777,0.9044293469872525,39.64639329910278,0,0.9041666666666667
5,-1,32,0,"[0, 0, 1, 1, 1]","[1, 0, 1, 1, 0]",[],0.875,0.9675324675324676,0.8849330266338867,0.9086870903765982,0.9995837028347476,0.8773148776271078,549.0556983947754,0,0.8875
0,0,0,0,[],[],[],0.9916666666666667,0.9929611330698288,0.9917359687096529,0.9920689034894226,0.9988273977139993,0.991316737019277,2.8053815364837646,0,0.9916666666666667
4,5,16,128,"[0, 1, 0, 0]","[1, 1, 1, 0]","[0, 0, 1, 1, 0]",0.9916666666666667,0.991433355292051,0.9926920062695924,0.9918625694318938,0.9997351572356211,0.9913087279258145,22.22107720375061,0,0.9916666746139526
3,3,8,256,"[1, 0, 0]","[0, 0, 0]","[0, 0, 1]",0.9645833333333333,0.970483183970026,0.9714973806802892,0.9686781688141884,0.999942544492165,0.9633115765827429,25.61739230155945,0,0.9645833373069763
2,0,32,0,"[0, 0]","[0, 0]",[],0.9625,0.9637621309532065,0.9660936524065814,0.9629483564422813,0.9980840931093994,0.9609948419736036,53.85169720649719,0,0.9625
2,-2,4,0,"[1, 1]","[1, 0]",[],0.7458333333333333,0.9634292565947242,0.7587271353336512,0.8173989906180967,0.9997855494475686,0.7629536909713655,82.08265161514282,0,0.7458333333333333
4,4,16,64,"[1, 0, 1, 0]","[0, 1, 0, 1]","[0, 0, 0, 0]",0.975,0.978311737326683,0.976814851814852,0.976372537940594,0.9989464036656601,0.9739929894629789,22.326727628707886,0,0.9750000238418579
3,-1,32,0,"[0, 0, 0]","[1, 1, 0]",[],0.8875,0.9683098591549296,0.8955118475575352,0.915709529976577,0.9995201876900083,0.8889759864624498,583.1132719516754,0,0.8875
